,Positive Tweets
0,Fyi - Twitter has an amazing feature built in if you didn’t know you could look up words at the click a button…
1,"#XRP is ready for launch 

Awaiting regulatory approval "
2,"Dear 
@ElonMusk
,

It's Government CONTROLLED, not funded.

Us plebs fund the damn thing, the government put their old schoolchums in charge, who happen to be incompetent. 

You should understand this process better than anyone, being an incompetent trust fund baby yourself."
3,"Good Morning Elon, Happy Easter
Your Patronage will be highly appreciated.

Incase you wish to bless some of your Followers for Easter Celebration, we are at your service.

We have Foodstuff Packages which varies from #8500 upward.
Location: Ibadan"
4,"April 18,2021 crypto and Doge before  
@elonmusk
  VS    April 9,2023 crypto and Doge after 
@elonmusk
's inception.
So far so good is elon's inception a blessing or otherwise?."
5,"Dear Elon 
@elonmusk
 Please can you put 
@GaryLineker
 blue tick back now it’s not clever to be so transparently linked to the far right illuminati #RefugeesWelcome"
6,"Why is the 
@abcnews
, Australia’s government funded broadcaster not labeled as State Affiliated Media on Twitter? 
@elonmusk
 and 
@twitter
 need to be consistent in alerting its users to the fact they are viewing material from a government affiliated source."
7,"This ones easy ser, #MONKEYS is on Elon Musk's official twitter list.

It went to 5.2M ATH on the first day, once he starts tweeting, this is the next Floki"
8,"This is my original comic scene #OPTIMUS enjoy it #OptimusAl  
@OptimusAI_Token
 @elonmusk"
9,"Agriverse offers a new and exciting way to support sustainable agriculture, by connecting virtual and physical assets and offering live surveillance of land and farms. #AV #Theagriverse #Elonmusk #Bscchain #NFT #Gems"
10,"Agriverse offers a new and exciting way to support sustainable agriculture, by connecting virtual and physical assets and offering live surveillance of land and farms. #AV #Theagriverse #Elonmusk #Bscchain #NFT #Gems"
11,"I would like to talk the organizers and volunteers for this fantastic event. 
Special thanks to Bhavya Chopra for help me out throughout the event.
#GDSCWOWMumbai
#gdscwow 
#GDSCWOWMumbai 
@GdscWowMumbai
 
@elonmusk"
12,"Is the license fee voluntary, or does the government fine you if you don't pay it?

The ""license fee"" is a tax.

You're government-funded.

Actually, you're funded through extortion. But I repeat myself."
13,"Why does 
@elonmusk
 use fascist rules to censor free speech on Twitter? Hate Speech and Hateful Conduct are meaningless terms used to imply wrongdoing when you speak TRUTH. Free the bird Elon. Remove the rules that allow fascists to silence and punish conservative voices."
14,"Why does 
@elonmusk
 use fascist rules to censor free speech on Twitter? Hate Speech and Hateful Conduct are meaningless terms used to imply wrongdoing when you speak TRUTH. Free the bird Elon. Remove the rules that allow fascists to silence and punish conservative voices."
15,"We have absolute censorship on all major platforms except Twitter. This place is quite literally the only major platform for free speech. 

Keep your eye on the ball folks. 

The inconsistencies of 
@elonmusk
 pale in comparison to Google, Facebook, Apple..."
16,"Dear Mr 
@elonmusk
, i'm a state representative from Rio de Janeiro state and I've been on shadowban for over 60 days now. Political persecution has severely limited the reach of my account. Please have a look into this, democracy and freedom of speech are at risk in Brazil and…"
17,"“Earth is the cradle of humanity, but you can not stay in that cradle forever... It's time to go forth... be out there among the stars... I find that incredibly exciting, that makes me glad to be alive. I hope you feel the same way” - Elon (2018)"
18,"April 18,2021 crypto and Doge before  
@elonmusk
  VS    April 9,2023 crypto and Doge after 
@elonmusk
's inception.
So far so good is elon's inception a blessing or otherwise?."
19,"I think it matters whether someone has a good heart.
- Elon Musk

WE MISS YOU SHIVRIT"
20,"@Jake_Kanter
 @elonmusk
  

We all know who funds the 
@BBC
 and it ain't the good guys."
21,"Good Morning Elon, Happy Easter
Your Patronage will be highly appreciated.

Incase you wish to bless some of your Followers for Easter Celebration, we are at your service.

We have Foodstuff Packages which varies from #8500 upward.
Location: Ibadan"
22,"Hey Team Twitter,  
@elonmusk
 @ellagirwin
, 
i have noticed that you have done a great job,labeling BBC as ""Government funded media"". It would be great if you could also label 
@RFI
 @RFIAfrique
 @FRANCE24
 as France-state affiliated media or Government Funded Media."
23,"Hey Team Twitter,  
@elonmusk
 @ellagirwin
, 
i have noticed that you have done a great job,labeling BBC as ""Government funded media"". It would be great if you could also label 
@RFI
 @RFIAfrique
 @FRANCE24
 as France-state affiliated media or Government Funded Media."
24,"We are living in times of a great systematic reset
Can i get an access to Media Studio? 
@elonmusk"
25,"We are living in times of a great systematic reset
Can i get an access to Media Studio? 
@elonmusk"
26,"Good Morning Elon, Happy Easter
Your Patronage will be highly appreciated.

Incase you wish to bless some of your Followers for Easter Celebration, we are at your service.

We have Foodstuff Packages which varies from #8500 upward.
Location: Ibadan"
27,"Happy Easter!
#FLOKI"
28,Happy Easter boss! 
29,Happy Easter boss! 
30,"Happy Easter
#FLOKI #shibaflokiinu #shiba #elon_musk #HappyEaster #HappyEaster2023"
31,"Happy Easter
#FLOKI #shibaflokiinu #shiba #elon_musk #HappyEaster #HappyEaster2023"
32,"Dear Elon 
@elonmusk
 Please can you put 
@GaryLineker
 blue tick back now it’s not clever to be so transparently linked to the far right illuminati #RefugeesWelcome"
33,"“Earth is the cradle of humanity, but you can not stay in that cradle forever... It's time to go forth... be out there among the stars... I find that incredibly exciting, that makes me glad to be alive. I hope you feel the same way” - Elon (2018)"
34,"Hello 
@elonmusk
 @ellagirwin
 Please also kindly label 
@RFI
 @RFIAfrique
 @FRANCE24
 as France-state affiliated media or Government Funded Media."
35,"Hello 
@elonmusk
 @ellagirwin
 Please also kindly label 
@RFI
 @RFIAfrique
 @FRANCE24
 as France-state affiliated media or Government Funded Media."
36,"Hi 
@elonmusk
 
We will bring this legendary hashtag #امپورٹڈ_حکومت_نامنظور  on world panel again and you will pin  it there for two weeks ?
Deal ? 
@Twitter
 
@elonmusk"
37,"My message requests inbox didn’t look like this until 
@elonmusk
 bought twitter.."
38,"Dear 
@elonmusk
 what is the purpose of the Circle function, if everyone in the ""for you"" timeline can read Circle Tweets? It's completely useless like this. Thanks for making this platform more and more unbearable."
39,"I would like to talk the organizers and volunteers for this fantastic event. 
Special thanks to Bhavya Chopra for help me out throughout the event.
#GDSCWOWMumbai
#gdscwow 
#GDSCWOWMumbai 
@GdscWowMumbai
 
@elonmusk"
40,I just LOVE how Elon Musk trolls the left!
41,"Easter beauties..I love you bro. 
@elonmusk"
42,""" Elon musk Love  Doge & Doge Must Love Baby ""
@elonmusk
 
@dogecoin
@BabyDogeCoin"
43,""" Elon musk Love  Doge & Doge Must Love Baby ""
@elonmusk
 
@dogecoin
@BabyDogeCoin"
44,"Tesla Earth Day Contest 2023 Images - Queenstown Tasmania, Mount Buffalo Victoria, Lucky Bay Western Australia and Uluru Northern Territory 
@tesla
 ⁦
@elonmusk
⁩ #roadtrip #biglap"
45,"All this, and the emotional maturity of a pre-teen. Neat."
46,"All this, and the emotional maturity of a pre-teen. Neat."
47,"Once upon a time, there was a popular cryptocurrency named Dogecoin. #dogewow 
@elonmusk
 #dogecoin"
48,"All chat GPT bot says nowadays is ..

I am not allowed, I am not programmed too, I may not suggest...

So boring, rather get back to Google

Too many chefs, too much Democracy is not progressive at times... Let it have opinions.

#ChatGPT 
@elonmusk
 @sama"
49,"We should protect the eggs 
@Degen_Zoo"
50,"#XRP is ready for launch 

Awaiting regulatory approval "
51,#Monkeys are ready for launch too
52,"I heard he hates US.when a young boy he watched as they took the Jewish peoples assets ect when asked how he felt about it, he said he didn’t feel anything about it, it didn’t upset him.He says so right here..a normal person watching that kind of stuff would b mortified.…"
53,"yo .
@elonmusk
 I need my verification back, RIGHT NOW!!"
54,"Dear Elon 
@elonmusk
 Please can you put 
@GaryLineker
 blue tick back now it’s not clever to be so transparently linked to the far right illuminati #RefugeesWelcome"
55,"https://mirror.co.uk/sport/football/news/gary-lineker-twitter-under-review-29663433?utm_source=facebook.com&utm_medium=social&utm_campaign=mirror_main… if this is true he shouldn't be it his view do I agree with him no put he has a right to say it 
@elonmusk"
56,"Will #DOGE take a support here? #DogecoinToTheMoon 
@elonmusk
 @AltcoinGordon"
57,"Agriverse offers a new and exciting way to support sustainable agriculture, by connecting virtual and physical assets and offering live surveillance of land and farms. #AV #Theagriverse #Elonmusk #Bscchain #NFT #Gems"
58,"Agriverse offers a new and exciting way to support sustainable agriculture, by connecting virtual and physical assets and offering live surveillance of land and farms. #AV #Theagriverse #Elonmusk #Bscchain #NFT #Gems"
59,"Agriverse offers a new and exciting way to support sustainable agriculture, by connecting virtual and physical assets and offering live surveillance of land and farms. #AV #Theagriverse #Elonmusk #Bscchain #NFT #Gems"
60,"Agriverse offers a new and exciting way to support sustainable agriculture, by connecting virtual and physical assets and offering live surveillance of land and farms. #AV #Theagriverse #Elonmusk #Bscchain #NFT #Gems"
61,"My Balloons were late
Anyways thank you Elon Musk"
62,"DeFi, made simple.

Decentralised finance describes the financial applications built on top of decentralised blockchains that function using open-source code.

These applications can be used for trading, lending, staking and more 
@binance
 
@elonmusk"
63,"Dear 
@ElonMusk
,

It's Government CONTROLLED, not funded.

Us plebs fund the damn thing, the government put their old schoolchums in charge, who happen to be incompetent. 

You should understand this process better than anyone, being an incompetent trust fund baby yourself."
64,Steve jobs - the most visionary and innovated personality
65,"Dear 
@elonmusk
,
Someone hacking twitter! Here is the recorded proof
#Twitter
#twitterhack
@Twitter
 
And this was reported earlier as well  before you joined in!"
66,"Dear 
@elonmusk
,
Someone hacking twitter! Here is the recorded proof
#Twitter
#twitterhack
@Twitter
 
And this was reported earlier as well  before you joined in!"
67,".
@elonmusk
 has never been one to shy away from taking risks: 

""The conventional wisdom of the time said to take a deep breath and wait for the next big thing to arrive in due course. Musk rejected that logic by throwing $100M into SpaceX, $70M into Tesla & $10M into SolarCity”"
68,"You wonder what Soros’ goal is 
@elonmusk
 because what was the goal in Germany in 1938?
Same as now. Chao is and Revolution, and fascism. 
Soros the Nazi:"
